,ticker,name,market,locale,active,source_feed
247,I:CEXX,NASDAQ Clean Edge Green Energy Total Return,indices,us,True,NasdaqGIDS
248,I:CH30,Dow Jones Switzerland Titans 30 Index,indices,us,True,CMEMarketDataPlatformDowJones
249,I:CH30D,Dow Jones Switzerland Titans 30 Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
250,I:CHDOW,Dow Jones Switzerland Index,indices,us,True,CMEMarketDataPlatformDowJones
251,I:CHDOWD,Dow Jones Switzerland Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
252,I:CHXN9000,NASDAQ OMX China Technology,indices,us,True,NasdaqGIDS
253,I:CHXN9000NX,NASDAQ OMX China Technology Net Total Return,indices,us,True,NasdaqGIDS
254,I:CHXN9000X,NASDAQ OMX China Technology Total Return,indices,us,True,NasdaqGIDS
255,I:CLDOW,Dow Jones Chile Index,indices,us,True,CMEMarketDataPlatformDowJones
256,I:CLDOWD,Dow Jones Chile Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
257,I:CLESG,CRSP ISS US Large Cap ESG Index,indices,us,True,NasdaqGIDS
258,I:CLESGB,CRSP ISS US Large Cap ESG Industry Balanced Index,indices,us,True,NasdaqGIDS
259,I:CLESGBR,CRSP ISS US Large Cap ESG Industry Balanced Remain,indices,us,True,NasdaqGIDS
260,I:CLESGBRT,CRSP ISS US Large Cap ESG Industry Balanced Remain,indices,us,True,NasdaqGIDS
261,I:CLESGBT,CRSP ISS US Large Cap ESG Industry Balanced Index,indices,us,True,NasdaqGIDS
262,I:CLESGNP,CRSP ISS US Large Cap ESG Non-Prime Index,indices,us,True,NasdaqGIDS
263,I:CLESGNPT,CRSP ISS US Large Cap ESG Non-Prime Index TR,indices,us,True,NasdaqGIDS
264,I:CLESGP,CRSP ISS US Large Cap ESG Prime Index,indices,us,True,NasdaqGIDS
265,I:CLESGPT,CRSP ISS US Large Cap ESG Prime Index TR,indices,us,True,NasdaqGIDS
266,I:CLESGR,CRSP ISS US Large Cap ESG Remainder Index,indices,us,True,NasdaqGIDS
267,I:CLESGRT,CRSP ISS US Large Cap ESG Remainder Index TR,indices,us,True,NasdaqGIDS
268,I:CLESGT,CRSP ISS US Large Cap ESG Index TR,indices,us,True,NasdaqGIDS
269,I:CLIXIV,PROSHARES LONG ONLINE/SHORT STORES ETF,indices,us,True,CboeGlobalIndicesINAV
270,I:CLL,Cboe S&P 500 95-110 Collar Index,indices,us,True,CboeGlobalIndicesMain
271,I:CLL1M,Cboe S&P 500 Risk Managed Income Index,indices,us,True,CboeGlobalIndicesMain
272,I:CLL3M,Cboe S&P 500 3-Month Collar 95-110 Index,indices,us,True,CboeGlobalIndicesMain
